net,length_um
_12760_,340.11
net408,339.98
_27612_,339.88
_08443_,339.195
_12272_,338.27
_35481_,337.7
_35005_,337.35
_11343_,337.34
_21392_,337.18
_12747_,336.945
_07979_,336.77
_22520_,336.625
_34856_,336.56
_36408_,336.16
_24757_,335.19
_36678_,334.9
_29560_,334.2
_04160_,333.915
_24276_,333.52
_24754_,333.42
_24738_,333.06
_11814_,332.51
_27622_,332.31
_05613_,332.18
_08944_,331.71
_11333_,330.73
_04047_,330.48
_27144_,329.74
_09409_,329.5
_13885_,329.34
_05551_,329.08
_23790_,328.99
net647,328.58
_05547_,328.5
_28115_,327.57
_36101_,327.52
_22369_,326.7
_21398_,326.5
_16125_,326.46
_36207_,326.43
_09419_,326.35
_09405_,326.19
_12756_,326.12
_30011_,325.76
_09896_,325.04
_12281_,324.275
_31498_,324.01
_19473_,323.76
_19971_,323.76
_16128_,323.61
_27615_,323.28
net530,323.27
_34898_,323.02
_22080_,322.76
_34314_,322.45
_24270_,322.2
_27148_,321.88
_35409_,321.34
_35106_,320.62
_35070_,319.83
_11336_,318.77
_20692_,318.13
_24731_,318.07
_12750_,317.57
_12275_,317.53
_09885_,317.495
_21413_,317.38
_35997_,317.04
_36550_,316
_08951_,315.94
_27625_,315.74
_24264_,315.31
_12268_,315.14
_24267_,314.82
_19983_,314.76
_12288_,313.82
_36386_,313.75
_23802_,313.745
_29963_,313.63
_36614_,313.44
_35145_,313.22
_12292_,312.9
_24261_,312.16
_05215_,312.02
_23805_,311.8
_35217_,311.62
_10855_,311.37
_08456_,310.84
_10852_,310.68
_09889_,309.81
_04611_,309.42
_21404_,309
_12278_,308.69
_34858_,308.29
_35183_,308.26
_08954_,307.84
_04600_,307.14
_05554_,306.95
_35256_,306.92
net344,306.73
_36260_,306.66
_24273_,306.65
_07969_,306.45
_35548_,306.35
_11319_,306.01
_04615_,305.96
_10721_,305.19
_05562_,305.08
_35032_,305.06
_12753_,304.54
_19976_,304.27
_15620_,304.03
_35327_,303.9
_09899_,303.715
_24735_,303.6
_10846_,303.54
_31400_,303.47
_07976_,303.25
_34791_,303.16
_26137_,302.32
_11330_,302.28
net591,302.24
_24279_,302.16
_15622_,301.49
_08439_,301.47
_19986_,301.215
_18585_,300.96
_10417_,300.1
_11327_,299.725
_10859_,299.7
_26650_,299.68
_10842_,299.2
_31461_,299.03
_34845_,298.665
_07502_,298.63
_19469_,298.59
_09902_,298.375
_34846_,298.2
_11810_,297.59
_26653_,297.155
_21840_,297.125
_35361_,296.96
_36479_,296.86
_34946_,296.72
_15634_,296.61
_04593_,295.89
_05559_,294.92
_11135_,294.55
_11323_,294.415
_04597_,294.1
_09905_,293.545
_05565_,293.51
_25261_,293.17
_19979_,293.05
_35606_,292.92
_32599_,292.81
_22831_,291.55
_34995_,291.28
matrix_top.buffer_gen\[0\].buffer.reg_out\[30\],291.09
_11817_,289.94
_22828_,289.62
_36334_,289.2
net6,288.86
_19476_,288.82
_07982_,288.36
_35831_,288.12
_11807_,287.92
_26644_,287.5
_16937_,287.32
_35431_,287.27
_06059_,285.97
_10863_,285.9
_32375_,285.24
_24258_,285.16
_34874_,284.34
_11804_,284.22
matrix_top.buffer_gen\[0\].buffer.reg_out\[31\],283.94
_34814_,283.74
_26612_,283.315
_35082_,283.26
_21410_,283.22
_36133_,283.09
_36259_,282.86
_11575_,282.57
_11797_,282.37
_03497_,282.21
net8,282.14
_11794_,282.06
net11,281.56
matrix_top.buffer_gen\[0\].buffer.reg_out\[29\],281.5
_05569_,281.4
_08464_,281.08
_04134_,280.47
net276,280.22
_04618_,280.14
_15627_,279.48
_07515_,279.36
_36118_,278.82
net582,278.77
_36187_,278.74
net492,278.74
_10866_,278.71
net176,278.61
_36167_,278.51
_11800_,278.46
_34810_,278.43
_18971_,278.3
_23750_,278
_19513_,277.92
_10404_,277.79
_05084_,277.73
net9,277.54
_25264_,277.29
_14685_,277.01
_04603_,276.98
_08460_,276.73
_26647_,276.52
_36428_,276.18
matrix_top.results\[1344\],275.96
_07495_,275.85
_03486_,275.52
_35469_,275.14
_34878_,274.4
_29749_,274.175
_22837_,273.94
_26148_,273.67
_07518_,273.4
_35615_,273.3
_34306_,273.26
_36240_,273.26
_15643_,273.245
_17605_,273.115
_35688_,272.45
_37170_,272.31
_07972_,272.26
_31454_,271.44
_18108_,271.41
_05572_,271.4
_36407_,271.17
net7,271.135
_35396_,270.52
_04146_,270.26
_19480_,270.15
_23307_,270.03
_34891_,269.87
_07988_,269.74
_11371_,269.21
_35545_,268.9
net387,268.8
net301,268.52
net502,268.3
_34988_,268.15
matrix_top.results\[137\],267.54
_23295_,267.34
_36159_,267.25
matrix_top.buffer_gen\[3\].buffer.buffer\[0\],266.68
_04606_,266.67
_06055_,266.65
_23304_,266.44
_31380_,266.3
_35757_,266.16
_35675_,266.06
_09439_,265.97
_04150_,265.76
_04140_,265.695
_04157_,265.22
_18557_,264.67
_19486_,264.38
_09908_,264.27
_18498_,264.26
_35650_,264.19
net592,264.01
_35397_,263.75
_03893_,263.63
_34997_,263.6
_07066_,263.21
_36004_,263.07
_22825_,262.85
net308,262.03
_22821_,261.57
_35054_,261.54
_25254_,261.44
_04587_,261.33
_33783_,261.32
_36051_,261.24
_15647_,261.1
_35616_,261.08
_35907_,260.82
_15153_,260.52
_35110_,260.12
_14697_,260.06
net336,259.89
_07985_,259.84
_07499_,259.78
matrix_top.buffer_gen\[0\].buffer.reg_out\[28\],259.66
_21167_,259.62
_35855_,259.51
_35378_,259.48
_19483_,259.38
_07505_,259.34
_34932_,259.06
net10,258.255
_17602_,257.77
_35691_,257.5
matrix_top.results\[136\],257.06
_35542_,256.76
_25662_,256.02
_25257_,256.005
_23310_,256
_07965_,255.56
_33397_,255.24
_34896_,255.05
_04058_,254.515
_35128_,254.08
_10414_,253.77
_35202_,253.76
_26657_,253.74
_07508_,252.85
_09760_,252.3
_30693_,252.28
_24255_,252.14
_36216_,252.02
_23313_,251.63
_31468_,251.17
_35960_,251.05
_35108_,250.96
_16788_,250.51
_35686_,250.04
_05087_,249.19
net388,249.04
_35472_,249
_24782_,248.6
_33330_,248.31
_35329_,248.26
_18571_,248.22
_12258_,248.17
_15631_,248.015
_36661_,247.98
_07511_,247.95
_31458_,247.82
_35470_,247.75
_31414_,247.68
_35186_,247.54
_10326_,247.24
_35980_,247.2
_07070_,247.03
_35036_,246.78
_27575_,246.53
matrix_top.buffer_gen\[3\].buffer.buffer\[1\],246.16
_04055_,245.78
_36281_,245.76
_34836_,245.28
_36352_,245.03
net184,244.87
matrix_top.buffer_gen\[3\].buffer.r_en,244.43
_14215_,244.315
_19013_,244.265
matrix_top.results\[135\],244.04
_34906_,243.94
_35275_,243.74
_19490_,243.16
_03851_,242.86
_04067_,242.74
_10325_,242.74
_27157_,242.345
_06065_,241.33
net602,240.98
_35403_,240.88
_36067_,240.68
_35830_,240.44
_04153_,240.43
_06062_,240.275
_25250_,240.165
_31097_,240.13
_22834_,239.57
_05081_,239.54
_36496_,239.32
_35331_,238.84
_35031_,238.69
_23299_,238.63
_35985_,238.56
_27634_,238.34
_05094_,238.23
_27154_,238.19
matrix_top.results\[134\],238.16
net415,238.03
_35320_,237.9
_35689_,237.58
_35259_,237.38
_06470_,237.08
_35952_,237.01
_23320_,236.94
_29273_,236.895
_06076_,236.425
_35869_,236.31
_34875_,236.3
_27096_,236.26
_23351_,236.14
_36789_,235.875
_04137_,235.34
_23317_,235.11
_37159_,235.08
_09442_,235.03
_36461_,234.94
_34794_,234.76
_34920_,234.46
_22848_,234.31
net630,233.94
_36384_,233.93
net538,233.9
_15637_,233.32
_36014_,233.04
_35639_,232.88
_22318_,232.84
net562,232.34
_15640_,232.2
_34996_,232.18
_19006_,231.89
_06554_,231.74
net385,231.7
_26660_,231.6
_05592_,231.35
net230,231.35
_05091_,231.3
_36016_,230.7
_05078_,230.56
_19493_,230.2
matrix_top.buffer_gen\[0\].buffer.r_en,229.56
_36566_,229.55
_16637_,229.54
matrix_top.buffer_gen\[1\].buffer.reg_out\[8\],229.06
_11968_,228.94
_17064_,228.9
_35882_,228.38
_33305_,228.3
_35759_,228.22
_16661_,227.76
_15679_,227.65
matrix_top.buffer_gen\[2\].buffer.r_en,227.42
_23817_,227.38
_07999_,226.65
_15139_,226.43
_34795_,226.32
_20484_,226.19
_35229_,225.72
_04634_,225.62
_15125_,225.53
_04052_,225.44
_34834_,224.92
_03864_,224.68
_17617_,224.67
_34841_,224.38
_30920_,224.26
_35155_,224.2
_30516_,224.01
_17596_,223.51
_30037_,223.3
_35886_,223.29
_26227_,223.27
_36100_,223.24
_35878_,222.66
_31464_,222.23
_35541_,222.15
_17609_,221.855
_18994_,221.54
_25277_,220.96
_36095_,220.84
_11835_,220.74
_35257_,220.61
_34781_,220.34
_35208_,220.32
_35447_,220.32
_34789_,220.06
_34917_,220.02
matrix_top.buffer_gen\[0\].buffer.reg_out\[27\],219.94
net402,219.94
net420,219.93
_35399_,219.92
_04087_,219.86
_05584_,219.66
_09436_,219.625
_21644_,218.48
_35981_,218.47
_22845_,218.465
_36027_,218.36
_23808_,217.97
matrix_top.results\[401\],217.68
_35453_,216.76
_09433_,216.7
_27631_,216.7
_34887_,216.62
_04001_,216.02
_10410_,215.98
